No,ID,CG,Depth_m,qc_MPa,fs_kPa,u_kPa,Other,qt_MPa,Rf_p,SBT,Ic,gamma_kNm3,sv_kPa,u0_kPa,du_kPa,slv0_kPa,Qt1,Fr_p,Bq,SBTn,n,Cn,Icn,Qtn,U2,IB,MSBTn,KG,EST
1358,14,2,15.66,0.59,11.2,488,2.9,0.79,1.42,4,2.92,16.5,258.39,143.81,344.19,114.58,4.66,2.11,0.64,3,1,0.87,3.2,4.66,2.98,18.37,0,147.0778613,0
1359,14,2,15.78,0.61,10.7,482,3,0.8,1.36,4,2.91,16.5,260.37,144.99,337.01,115.38,4.7,2.01,0.62,3,1,0.87,3.19,4.7,2.91,18.5,0,146.160918,0
1360,14,2,16.02,0.61,11.2,497,3,0.81,1.36,4,2.9,16.5,264.33,147.35,349.65,116.98,4.69,2.02,0.64,3,1,0.85,3.19,4.69,2.99,18.49,0,145.9276204,0
1361,14,2,16.22,0.61,11.8,503,3,0.81,1.44,4,2.91,16.5,267.63,149.31,353.69,118.32,4.61,2.15,0.65,3,1,0.85,3.21,4.61,2.98,18.28,0,147.7520661,0
1362,14,2,16.34,0.62,10.6,507,2.9,0.82,1.32,4,2.89,16.5,269.61,150.49,356.51,119.12,4.6,1.97,0.63,3,1,0.84,3.19,4.6,2.9,18.47,0,143.8223042,0
1363,14,2,16.4,0.62,10.2,496,2.9,0.82,1.25,4,2.88,16.5,270.6,151.07,344.93,119.53,4.62,1.86,0.64,3,1,0.84,3.18,4.62,2.94,18.6,0,142.4752246,0
1364,14,2,16.8,0.62,10.5,511,3,0.83,1.25,4,2.88,16.5,277.2,155,356,122.2,4.51,1.88,0.65,3,1,0.82,3.19,4.51,2.95,18.49,0,141.7066642,0
1365,14,2,16.84,0.62,10.2,531,3,0.83,1.24,4,2.87,16.5,277.86,155.39,375.61,122.47,4.49,1.86,0.66,3,1,0.82,3.19,4.49,2.98,18.5,0,141.2350943,0
1366,14,2,16.92,0.64,9,520,3,0.84,1.1,4,2.85,16.5,279.18,156.18,363.82,123,4.54,1.65,0.65,3,1,0.81,3.16,4.54,2.94,18.76,0,137.103884,0
1367,14,2,17.06,0.63,9.9,523,3,0.84,1.14,4,2.85,16.5,281.49,157.55,365.45,123.94,4.53,1.71,0.65,3,1,0.81,3.17,4.53,2.95,18.69,0,138.6217956,0
1368,14,2,17.08,0.64,9.4,524,3,0.84,1.13,4,2.85,16.5,281.82,157.74,366.26,124.08,4.53,1.69,0.64,3,1,0.81,3.16,4.53,2.92,18.71,0,136.8773284,0
1369,14,2,17.14,0.64,8.8,512,3,0.84,1.07,4,2.84,16.5,282.81,158.33,353.67,124.48,4.48,1.61,0.63,3,1,0.8,3.16,4.48,2.84,18.75,0,135.7426674,0
1370,14,2,17.2,0.63,9,517,3,0.84,1.09,4,2.84,16.5,283.8,158.92,358.08,124.88,4.44,1.64,0.64,3,1,0.8,3.17,4.44,2.85,18.68,0,136.5510664,0
1371,14,2,17.46,0.65,10.2,523,3,0.86,1.2,4,2.86,16.5,288.09,161.47,361.53,126.62,4.48,1.8,0.64,3,1,0.79,3.18,4.48,2.85,18.54,0,139.2247283,0
1372,14,2,17.76,0.66,10.7,543,3.1,0.88,1.2,4,2.85,16.5,293.04,164.42,378.58,128.62,4.54,1.81,0.65,3,1,0.78,3.18,4.54,2.95,18.6,0,140.6208628,0
1373,14,2,17.94,0.66,10.2,551,3.1,0.88,1.15,4,2.84,16.5,296.01,166.18,384.82,129.83,4.49,1.73,0.66,3,1,0.77,3.17,4.49,2.98,18.63,0,137.7027534,0
1374,14,2,18,0.65,9.8,553,3.1,0.88,1.12,4,2.83,16.5,297,166.77,386.23,130.23,4.45,1.69,0.66,3,1,0.77,3.17,4.45,2.94,18.63,0,136.7816621,0
1375,14,2,18.14,0.66,9.2,553,3.1,0.88,1.05,4,2.82,16.5,299.31,168.14,384.86,131.17,4.46,1.59,0.66,3,1,0.76,3.16,4.46,2.95,18.75,0,135.2879178,0
1376,14,2,18.24,0.67,10,559,3.1,0.89,1.16,4,2.83,16.5,300.96,169.12,389.88,131.84,4.47,1.75,0.64,3,1,0.76,3.18,4.47,2.86,18.59,0,138.9915861,0
1377,14,2,18.28,0.68,11.3,504,0.8,0.9,1.24,4,2.85,16.5,301.62,169.52,334.48,132.1,4.5,1.88,0.64,3,1,0.76,3.19,4.5,2.87,18.48,0,141.4709448,0
1378,14,2,18.42,0.69,10.8,562,3,0.91,1.2,4,2.83,16.5,303.93,170.89,391.11,133.04,4.58,1.8,0.64,3,1,0.75,3.17,4.58,2.95,18.63,0,139.767751,0
