No,ID,Depth_m,qc_MPa,fs_kPa,u_kPa,Other,qt_MPa,Rf_p,SBT,Ic,gamma_kNm3,sv_kPa,u0_kPa,du_kPa,slv0_kPa,Qt1,Fr_p,Bq,SBTn,n,Cn,Icn,Qtn,U2,IB,MSBTn,KG,EST
101,2,7.92,1.16,19,59,0,1.32,1.74,4,2.77,19,150.48,72.79,-13.79,77.69,15.01,1.96,0.04,4,0.94,1.27,2.75,14.77,0.54,25.04,4,227.5426946,0
102,2,8.21,0.84,7,157,0,0.78,1.22,4,2.89,19,155.99,75.64,81.36,80.35,7.82,1.52,0.17,4,1,1.24,2.93,7.82,1.31,21.77,1,177.3914118,0
103,2,8.4,0.67,5,187,0,0.81,0.62,4,2.76,19,159.6,77.5,109.5,82.1,7.91,0.78,0.16,4,0.96,1.21,2.8,7.85,1.26,23.45,1,150.8967089,0
104,2,8.56,0.86,5,101,0,0.79,0.78,4,2.81,19,162.64,79.07,21.93,83.57,7.46,0.98,0.15,4,0.98,1.19,2.87,7.44,1.14,22.56,1,158.3825121,0
105,2,8.81,0.54,9,221,0,0.72,1.01,4,2.89,19,167.39,81.52,139.48,85.87,6.49,1.32,0.19,3,1,1.16,2.98,6.49,1.23,20.99,1,164.3278026,0
106,2,8.83,0.56,9,214,0,0.72,1.03,4,2.89,19,167.77,81.72,132.28,86.05,6.43,1.34,0.2,3,1,1.16,2.98,6.43,1.3,20.91,1,163.1870738,0
107,2,9.29,0.67,5,206,0,0.71,0.93,4,2.88,19,176.51,86.23,119.77,90.28,5.85,1.24,0.27,3,1,1.11,3,5.85,1.57,20.52,1,155.9173428,0
108,2,9.49,0.56,7,280,0,0.73,1.23,4,2.92,19,180.31,88.19,191.81,92.12,5.99,1.63,0.19,3,1,1.09,3.05,5.99,1.15,20.04,1,169.0821035,0
109,2,9.63,0.74,13,144,0,0.86,1.3,4,2.87,19,182.97,89.57,54.43,93.4,7.25,1.65,0.14,3,1,1.07,2.98,7.25,0.99,21.04,1,178.5587061,0
110,2,9.66,0.78,15,174,0,0.88,1.31,4,2.86,19,183.54,89.86,84.14,93.68,7.47,1.65,0.12,3,1,1.07,2.97,7.47,0.92,21.23,1,180.3092374,0
